iter	RMSE
0	2.703563768
1	2.611164374
2	2.523896635
3	2.42127558
4	2.32921236
5	2.253220256
6	2.195991097
7	2.13067076
8	2.083145809
9	2.025660255
10	1.98377167
11	1.944549772
12	1.891258116
13	1.852950873
14	1.809804456
15	1.775582859
16	1.734618259
17	1.702580453
18	1.672011944
19	1.630491286
20	1.606574885
21	1.57893233
22	1.548148937
23	1.524600917
24	1.485500667
25	1.458879821
26	1.430595895
27	1.411554884
28	1.386747788
29	1.365335935
30	1.348510553
31	1.321381468
32	1.305463588
33	1.285841282
34	1.260978496
35	1.238318418
36	1.220408782
37	1.201587223
38	1.182308396
39	1.160144255
40	1.138581357
41	1.112538186
42	1.094083534
43	1.085220804
44	1.073569763
45	1.061672979
46	1.044957261
47	1.039456931
48	1.013941786
49	0.9936169705
50	0.9797682374
51	0.9655033357
52	0.9541929704
53	0.9377706265
54	0.920610673
55	0.9075868355
56	0.8963154529
57	0.8898744429
58	0.8756109018
59	0.8591353242
60	0.8445944077
61	0.8329719198
62	0.8202097538
63	0.808892498
64	0.7894491993
65	0.7715552727
66	0.762029261
67	0.7534420524
68	0.7488917256
69	0.7367267825
70	0.7230294152
71	0.719420232
72	0.706896709
73	0.6979437281
74	0.6853390357
75	0.6739422075
76	0.6625537584
77	0.653308354
78	0.6441037107
79	0.632854379
80	0.6234609687
81	0.6147684647
82	0.6032968004
83	0.5919000605
84	0.5806580997
85	0.5746920715
86	0.5715326995
87	0.554405118
88	0.5454122101
89	0.5368008243
90	0.5295642648
91	0.5167598261
92	0.5069533704
93	0.4964711417
94	0.4943649118
95	0.4857140033
96	0.4796440425
97	0.47455024
98	0.4666367186
99	0.4643609449
