iter	Passed	Remaining
0	56	5640
1	57	2803
2	57	1857
3	57	1383
4	57	1099
5	58	910
6	58	775
7	58	673
8	58	594
9	58	530
10	59	478
11	59	435
12	59	398
13	59	366
14	59	339
15	60	315
16	60	294
17	60	275
18	60	258
19	60	243
20	61	230
21	61	217
22	61	206
23	61	195
24	62	186
25	62	177
26	62	169
27	62	161
28	62	154
29	63	147
30	63	140
31	63	135
32	63	129
33	63	124
34	64	119
35	64	114
36	64	110
37	64	105
38	65	101
39	65	98
40	65	94
41	65	90
42	65	87
43	66	84
44	66	81
45	66	78
46	66	75
47	67	72
48	67	70
49	67	67
50	67	65
51	67	62
52	68	60
53	68	58
54	68	56
55	68	53
56	68	51
57	69	50
58	69	48
59	69	46
60	69	44
61	69	42
62	70	41
63	70	39
64	70	37
65	70	36
66	70	34
67	71	33
68	71	32
69	71	30
70	71	29
71	72	28
72	72	26
73	72	25
74	73	24
75	73	23
76	73	22
77	74	20
78	74	19
79	74	18
80	74	17
81	74	16
82	75	15
83	75	14
84	75	13
85	75	12
86	75	11
87	76	10
88	76	9
89	76	8
90	76	7
91	76	6
92	77	5
93	77	4
94	77	4
95	77	3
96	77	2
97	78	1
98	78	0
99	78	0
