Serial number,Time (UTC),Datum ID,Session ID,Data format version,Firmware version,App version,Timezone offset (mins),Date local (yyyy/MM/dd),Time local (hh:mm:ss),GPS lat (ddmm.mmmmm),GPS long (dddmm.mmmmm),GPS speed (km/h),GPS sat count,Timebase (s),Status,Battery remaining (%),Accel X,Accel Y,Accel Z,Tape position,Flow setpoint (mL/min),Flow total (mL/min),Flow1 (mL/min),Flow2 (mL/min),Sample temp (C),Sample RH (%),Sample dewpoint (C),Internal pressure (Pa),Internal temp (C),Optical config,UV Sen1,UV Sen2,UV Ref,UV ATN1,UV ATN2,UV K,Blue Sen1,Blue Sen2,Blue Ref,Blue ATN1,Blue ATN2,Blue K,Green Sen1,Green Sen2,Green Ref,Green ATN1,Green ATN2,Green K,Red Sen1,Red Sen2,Red Ref,Red ATN1,Red ATN2,Red K,IR Sen1,IR Sen2,IR Ref,IR ATN1,IR ATN2,IR K,UV BC1,UV BC2,UV BCc,Blue BC1,Blue BC2,Blue BCc,Green BC1,Green BC2,Green BCc,Red BC1,Red BC2,Red BCc,IR BC1,IR BC2,IR BCc,Readable status
MA350-0238,2022-04-12T09:46:01Z,26133,12,1,1.1,1.4,0,2022-04-12,9:46:01 AM,0,0,0,0,60,64,100,-25746,-25,-1832,3,100,100,55.43,44.57,34.31,36.3,17.23,76676,34.69,DUALSPOT-UV-BLUE-GREEN-RED-IR,929908,753627,927344,0,0,0,925070,927685,839190,0,0,0,907135,929279,854529,0,0,0,899121,912953,905900,0,0,0,740292,835057,943997,0,0,0,,,,,,,,,,,,,,,,NA
MA350-0238,2022-04-12T09:47:01Z,26134,12,1,1.1,1.4,0,2022-04-12,9:47:01 AM,0,0,0,0,60,64,100,-25728,-67,-1817,3,100,99.72,55.17,44.55,34.39,35.8,17.09,76524,34.81,DUALSPOT-UV-BLUE-GREEN-RED-IR,929924,754408,930775,0.3611,0.26415,0,918498,921703,835607,0.281023,0.214242,0,906407,929062,855921,0.242006,0.184309,0,900671,914944,909208,0.194509,0.147598,0,740555,835694,945694,0.143129,0.104529,0,19221,17414,19221,18880,17826,18880,18208,17175,18208,17685,16620,17685,18120,16389,18120,NA
MA350-0238,2022-04-12T09:48:01Z,26135,12,1,1.1,1.4,0,2022-04-12,9:48:01 AM,0,0,0,0,60,64,100,-25757,-64,-1842,3,100,99.82,55.42,44.4,34.47,35.4,16.97,76456,34.88,DUALSPOT-UV-BLUE-GREEN-RED-IR,923594,749724,926448,0.588493,0.427177,0,919388,922942,837765,0.452113,0.344497,0,908469,931527,859091,0.391238,0.296337,0,887264,901604,896698,0.314209,0.236612,0,736557,831342,941337,0.228694,0.166099,0,12050,10783,12050,11443,10874,11443,11178,10474,11178,10834,10057,10834,10784,9686,10784,NA
MA350-0238,2022-04-12T09:49:01Z,26136,12,1,1.1,1.4,0,2022-04-12,9:49:01 AM,0,0,0,0,60,64,100,-25739,-50,-1842,3,100,99.93,55.55,44.39,34.55,35,16.88,76428,35,DUALSPOT-UV-BLUE-GREEN-RED-IR,924660,750829,928700,0.720298,0.525787,0,921327,925077,840348,0.551754,0.422996,0,902690,925718,854310,0.474417,0.361931,0,898125,912753,908290,0.382261,0.287699,0,737633,832635,943188,0.278503,0.203642,0,6968,6524,6968,6648,6555,6648,6216,6134,6216,6145,5773,6145,6263,5908,6263,NA
MA350-0238,2022-04-12T09:50:01Z,26137,12,1,1.1,1.4,0,2022-04-12,9:50:01 AM,0,0,0,0,60,64,100,-25781,-92,-1844,3,100,99.98,55.25,44.74,34.64,34.7,16.8,76404,35.06,DUALSPOT-UV-BLUE-GREEN-RED-IR,926648,752681,931922,0.855046,0.625255,0,915501,919430,835857,0.652724,0.503337,0,905570,928891,857767,0.560921,0.429314,0,899095,913923,909873,0.450891,0.341063,0,738374,833573,944572,0.329212,0.242726,0,7163,6529,7163,6774,6656,6774,6499,6252,6499,6231,5983,6231,6411,6101,6411,NA
MA350-0238,2022-04-12T09:51:01Z,26138,12,1,1.1,1.4,0,2022-04-12,9:51:01 AM,0,0,0,0,60,64,100,-25753,-89,-1810,3,100,99.9,55.37,44.53,34.7,34.3,16.69,76388,35.13,DUALSPOT-UV-BLUE-GREEN-RED-IR,921183,748472,927556,0.972211,0.715282,0,918351,922431,839201,0.739103,0.573361,0,906127,929550,858935,0.633746,0.4893,0,893774,908603,905044,0.507702,0.387299,0,739430,834883,946369,0.373415,0.276371,0,6214,5937,6214,5782,5829,5782,5459,5592,5459,5146,5209,5146,5575,5277,5575,NA
MA350-0238,2022-04-12T09:52:01Z,26139,12,1,1.1,1.4,0,2022-04-12,9:52:01 AM,0,0,0,0,60,64,100,-25753,-92,-1860,3,100,100.3,55.58,44.71,34.79,34,16.61,76376,35.19,DUALSPOT-UV-BLUE-GREEN-RED-IR,922887,750101,930667,1.126542,0.833177,0,912807,917113,835099,0.853866,0.662583,0,902513,926052,856357,0.732672,0.565189,0,895155,910164,907136,0.58677,0.447982,0,735410,830450,941743,0.430458,0.319008,0,8154,7743,8154,7653,7396,7653,7388,7045,7388,7135,6808,7135,7168,6660,7168,NA
MA350-0238,2022-04-12T09:53:01Z,26140,12,1,1.1,1.4,0,2022-04-12,9:53:01 AM,0,0,0,0,60,64,100,-25724,-93,-1848,3,100,99.96,55.69,44.27,34.84,33.7,16.5,76368,35.25,DUALSPOT-UV-BLUE-GREEN-RED-IR,921233,749037,930298,1.262766,0.934303,0,911698,916183,834909,0.954085,0.742054,0,900846,924529,855480,0.817328,0.630719,0,896472,911629,909060,0.65392,0.498974,0,734874,829973,941566,0.480543,0.355706,0,7183,6707,7183,6670,6653,6670,6310,6143,6310,6048,5777,6048,6281,5789,6281,NA
MA350-0238,2022-04-12T09:54:01Z,26141,12,1,1.1,1.4,0,2022-04-12,9:54:01 AM,0,0,0,0,60,64,100,-25757,-64,-1839,3,100,100.06,55.62,44.44,34.9,33.4,16.41,76364,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,916775,745586,926681,1.365167,1.012756,0,914986,919634,838542,1.03001,0.801951,0,904784,928684,859758,0.880092,0.680972,0,890926,906070,903886,0.702611,0.537616,0,736484,831855,943964,0.519449,0.384226,0,5407,5184,5407,5060,4995,5060,4684,4693,4684,4391,4361,4391,4886,4482,4886,NA
MA350-0238,2022-04-12T09:55:01Z,26142,12,1,1.1,1.4,0,2022-04-12,9:55:01 AM,0,0,0,0,60,64,100,-25748,-51,-1855,3,100,99.72,55.38,44.34,34.97,33.1,16.35,76360,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,918336,747046,929467,1.490677,1.110918,0,909829,914628,834607,1.122153,0.875449,0,899299,923220,855234,0.958603,0.743097,0,893260,908602,906817,0.76593,0.58586,0,737078,832648,945173,0.566732,0.418983,0,6655,6501,6655,6167,6143,6167,5885,5816,5885,5735,5457,5735,5963,5474,5963,NA
